date,daily_total,total_sum
2020-03-14T00:00:00Z,1,1
2020-03-17T00:00:00Z,1,2
2020-03-20T00:00:00Z,1,3
2020-03-21T00:00:00Z,1,4
2020-03-24T00:00:00Z,3,7
2020-03-25T00:00:00Z,1,8
2020-03-27T00:00:00Z,1,9
2020-03-29T00:00:00Z,2,11
2020-03-30T00:00:00Z,5,16
2020-03-31T00:00:00Z,-2,14
2020-04-01T00:00:00Z,0,14
2020-04-02T00:00:00Z,1,15
2020-04-03T00:00:00Z,1,16
2020-04-04T00:00:00Z,1,17
2020-04-05T00:00:00Z,1,18
2020-04-06T00:00:00Z,-5,13
2020-04-07T00:00:00Z,-2,11
2020-04-08T00:00:00Z,2,13
2020-04-09T00:00:00Z,3,16
2020-04-10T00:00:00Z,4,20
2020-04-11T00:00:00Z,0,20
2020-04-12T00:00:00Z,0,20
2020-04-13T00:00:00Z,-2,18
2020-04-14T00:00:00Z,1,19
2020-04-15T00:00:00Z,-10,9
2020-04-16T00:00:00Z,-4,5
2020-04-17T00:00:00Z,1,6
2020-04-20T00:00:00Z,-4,2
2020-04-22T00:00:00Z,0,2
2020-04-24T00:00:00Z,0,2
2020-04-27T00:00:00Z,2,4
2020-04-29T00:00:00Z,1,5
2020-04-30T00:00:00Z,2,7
2020-05-03T00:00:00Z,-1,6
2020-05-04T00:00:00Z,0,6
2020-05-05T00:00:00Z,2,8
2020-05-06T00:00:00Z,-2,6
2020-05-07T00:00:00Z,-1,5
2020-05-08T00:00:00Z,4,9
2020-05-09T00:00:00Z,2,11
2020-05-11T00:00:00Z,-3,8
2020-05-13T00:00:00Z,-3,5
2020-05-14T00:00:00Z,1,6
2020-05-15T00:00:00Z,4,10
2020-05-18T00:00:00Z,-5,5
2020-05-21T00:00:00Z,-1,4
2020-05-22T00:00:00Z,-4,0
2020-05-23T00:00:00Z,0,0
2020-05-24T00:00:00Z,1,1
2020-05-26T00:00:00Z,2,3
2020-05-27T00:00:00Z,2,5
2020-05-29T00:00:00Z,10,15
2020-05-30T00:00:00Z,6,21
2020-05-31T00:00:00Z,2,23
2020-06-01T00:00:00Z,1,24
